|6.6.6
semprich_basalt_1.tab
1
T(K)
200.00000000000011
200.00000000000011
960268656
13
T(K) P(bar) Pl Pl Sp Cpx Cpx Opx Gt ky qtz coes O
1038.30 16515.2 NaN NaN NaN 53.7187 NaN NaN 29.4802 9.55562 7.24544 NaN NaN
1040.32 16717.2 NaN NaN NaN 53.6354 NaN NaN 29.5844 9.51695 7.26325 NaN NaN
1042.34 16919.2 NaN NaN NaN 53.5452 NaN NaN 29.6975 9.47409 7.28319 NaN NaN
1044.36 17121.2 NaN NaN NaN 53.4567 NaN NaN 29.8087 9.43155 7.30296 NaN NaN
1046.38 17323.2 NaN NaN NaN 53.3783 NaN NaN 29.9078 9.39355 7.32039 NaN NaN
1048.40 17525.3 NaN NaN NaN 53.2896 NaN NaN 30.0195 9.35060 7.34036 NaN NaN
1050.42 17727.3 NaN NaN NaN 53.2033 NaN NaN 30.1279 9.30922 7.35954 NaN NaN
1052.44 17929.3 NaN NaN NaN 53.1179 NaN NaN 30.2356 9.26783 7.37870 NaN NaN
1054.46 18131.3 NaN NaN NaN 53.0301 NaN NaN 30.3478 9.22218 7.39999 NaN NaN
1056.48 18333.3 NaN NaN NaN 52.9392 NaN NaN 30.4634 9.17584 7.42164 NaN NaN
1058.50 18535.4 NaN NaN NaN 52.8511 NaN NaN 30.5706 9.14025 7.43797 NaN NaN
1060.52 18737.4 NaN NaN NaN 52.7495 NaN NaN 30.6994 9.08889 7.46218 NaN NaN
1062.54 18939.4 NaN NaN NaN 52.6619 NaN NaN 30.8105 9.04496 7.48261 NaN NaN
1064.56 19141.4 NaN NaN NaN 52.5612 NaN NaN 30.9349 9.00039 7.50346 NaN NaN
1066.58 19343.4 NaN NaN NaN 52.4840 NaN NaN 31.0315 8.96482 7.51968 NaN NaN
1068.60 19545.5 NaN NaN NaN 52.3990 NaN NaN 31.1377 8.92549 7.53783 NaN NaN
1070.62 19747.5 NaN NaN NaN 52.2899 NaN NaN 31.2742 8.87364 7.56231 NaN NaN
1072.64 19949.5 NaN NaN NaN 52.1912 NaN NaN 31.3980 8.82622 7.58453 NaN NaN
1074.67 20151.5 NaN NaN NaN 52.0942 NaN NaN 31.5225 8.77427 7.60898 NaN NaN
1076.69 20353.5 NaN NaN NaN 52.0039 NaN NaN 31.6304 8.74220 7.62357 NaN NaN
1078.71 20555.6 NaN NaN NaN 51.9050 NaN NaN 31.7588 8.68613 7.65004 NaN NaN
1080.73 20757.6 NaN NaN NaN 51.7997 NaN NaN 31.8889 8.63948 7.67193 NaN NaN
1082.75 20959.6 NaN NaN NaN 51.7040 NaN NaN 32.0124 8.58692 7.69664 NaN NaN
1084.77 21161.6 NaN NaN NaN 51.5998 NaN NaN 32.1390 8.54518 7.71610 NaN NaN
1086.79 21363.6 NaN NaN NaN 51.4988 NaN NaN 32.2671 8.49382 7.74025 NaN NaN
1088.81 21565.7 NaN NaN NaN 51.4005 NaN NaN 32.3921 8.44349 7.76388 NaN NaN
1090.83 21767.7 NaN NaN NaN 51.2969 NaN NaN 32.5205 8.39694 7.78568 NaN NaN
1092.85 21969.7 NaN NaN NaN 51.1940 NaN NaN 32.6497 8.34729 7.80899 NaN NaN
1094.87 22171.7 NaN NaN NaN 51.0807 NaN NaN 32.7882 8.29972 7.83136 NaN NaN
1096.89 22373.7 NaN NaN NaN 50.9792 NaN NaN 32.9151 8.25185 7.85378 NaN NaN
1098.91 22575.8 NaN NaN NaN 50.8747 NaN NaN 33.0460 8.20225 7.87707 NaN NaN
1100.93 22777.8 NaN NaN NaN 50.7697 NaN NaN 33.1771 8.15312 7.90013 NaN NaN
1102.95 22979.8 NaN NaN NaN 50.6645 NaN NaN 33.3085 8.10367 7.92335 NaN NaN
1104.97 23181.8 NaN NaN NaN 50.5629 NaN NaN 33.4362 8.05463 7.94632 NaN NaN
1106.99 23383.8 NaN NaN NaN 50.4492 NaN NaN 33.5776 8.00207 7.97112 NaN NaN
1109.01 23585.9 NaN NaN NaN 50.3345 NaN NaN 33.7211 7.94751 7.99689 NaN NaN
1111.03 23787.9 NaN NaN NaN 50.2247 NaN NaN 33.8594 7.89350 8.02236 NaN NaN
1113.05 23989.9 NaN NaN NaN 50.1146 NaN NaN 33.9983 7.83906 8.04802 NaN NaN
1115.07 24191.9 NaN NaN NaN 50.0036 NaN NaN 34.1339 7.79274 8.06972 NaN NaN
1117.09 24393.9 NaN NaN NaN 49.8894 NaN NaN 34.2781 7.73582 8.09662 NaN NaN
1119.11 24596.0 NaN NaN NaN 49.7200 NaN NaN 34.4853 7.66288 8.13180 NaN NaN
1121.13 24798.0 NaN NaN NaN 49.6644 NaN NaN 34.5570 7.63413 8.14444 NaN NaN
1123.15 25000.0 NaN NaN NaN 49.5468 NaN NaN 34.7040 7.57859 8.17068 NaN NaN
