setting,z0,z1,Da,composition,T0,P0,rho0,critical_depth,critical_pressure,critical_temperature,plag_out_pressure,plag_out_temperature,plag_out_depth,effective_delta_rho,max_delta_rho,max_rho,max_densification_rate_1Myr,max_densification_rate_100kyr,max_densification_rate_50kyr,max_densification_rate_10kyr
,,,30.0,sammon_2021_deep_crust,887.0,8075.999999999999,2959.3526267573866,nan,nan,nan,93.0,887.0,103094.61892378476,nan,nan,3.278934527092699,nan,nan,nan,nan
,,,30.0,sammon_2021_lower_crust,887.0,8075.999999999999,3019.526361345015,75489.0978195639,93.0,887.0,93.0,887.0,98743.74874974995,0.060919446843389846,0.07438165690807041,3.3654899110140706,nan,nan,nan,nan
,,,30.0,hacker_2015_md_xenolith,887.0,8075.999999999999,3149.3150267060996,61776.35527105421,93.0,887.0,93.0,887.0,96943.38867773555,0.09774347691112362,0.11778529670335702,3.408893550809357,nan,nan,nan,nan
,,,30.0,mackwell_1998_maryland_diabase,887.0,8075.999999999999,3237.0564096893845,51424.2848569714,93.0,887.0,93.0,887.0,89231.84636927384,0.11543623720135997,0.13571139721058012,3.4268196513165803,nan,nan,nan,nan
,,,100.0,sammon_2021_deep_crust,887.0,8075.999999999999,2959.3526267573866,nan,nan,nan,93.0,887.0,79179.83596719344,nan,nan,3.2757961195934717,nan,nan,nan,nan
,,,100.0,sammon_2021_lower_crust,887.0,8075.999999999999,3019.526361345015,63546.70934186837,93.0,887.0,93.0,887.0,76449.2898579716,0.06558095937881868,0.07163318137863639,3.3627414354846366,nan,nan,nan,nan
,,,100.0,hacker_2015_md_xenolith,887.0,8075.999999999999,3149.3150267060996,54244.84896979396,93.0,887.0,93.0,887.0,75069.01380276054,0.10400108811907921,0.11529845724423948,3.4064067113502396,nan,nan,nan,nan
,,,100.0,mackwell_1998_maryland_diabase,887.0,8075.999999999999,3237.0564096893845,46083.21664332866,93.0,887.0,93.0,887.0,69727.94558911782,0.1216108900812535,0.13477264907805608,3.4258809031840562,nan,nan,nan,nan
,,,300.0,sammon_2021_deep_crust,887.0,8075.999999999999,2959.3526267573866,nan,nan,nan,93.0,887.0,66817.36347269453,nan,nan,3.27403680216597,nan,nan,nan,nan
,,,300.0,sammon_2021_lower_crust,887.0,8075.999999999999,3019.526361345015,56945.38907781556,93.0,887.0,93.0,887.0,64776.95539107821,0.06458586093003287,0.06801963141536271,3.359127885521363,nan,nan,nan,nan
,,,300.0,hacker_2015_md_xenolith,887.0,8075.999999999999,3149.3150267060996,50854.17083416683,93.0,887.0,93.0,887.0,64086.8173634727,0.10580032118516955,0.11435779119794454,3.4054660453039447,nan,nan,nan,nan
,,,300.0,mackwell_1998_maryland_diabase,887.0,8075.999999999999,3237.0564096893845,43772.754550910184,93.0,887.0,93.0,887.0,60126.025205041005,0.12396049400329379,0.13511964191057135,3.4262278960165715,nan,nan,nan,nan
,,,1000.0,sammon_2021_deep_crust,887.0,8075.999999999999,2959.3526267573866,nan,nan,nan,93.0,887.0,59195.83916783356,nan,nan,3.274079208594478,nan,nan,nan,nan
,,,1000.0,sammon_2021_lower_crust,887.0,8075.999999999999,3019.526361345015,52744.54890978195,93.0,887.0,93.0,887.0,57455.491098219645,0.06417927663100133,0.06805091211404068,3.359159166220041,nan,nan,nan,nan
,,,1000.0,hacker_2015_md_xenolith,887.0,8075.999999999999,3149.3150267060996,48723.744748949786,93.0,887.0,93.0,887.0,57305.461092218444,0.10703623992701582,0.11467290199398805,3.405781156099988,nan,nan,nan,nan
,,,1000.0,mackwell_1998_maryland_diabase,887.0,8075.999999999999,3237.0564096893845,42452.49049809962,93.0,887.0,93.0,887.0,54334.86697339467,0.12559657939443486,0.13612722022261137,3.4272354743286115,nan,nan,nan,nan
,,,3000.0,sammon_2021_deep_crust,887.0,8075.999999999999,2959.3526267573866,nan,nan,nan,93.0,887.0,55505.10102020404,nan,nan,3.2740801466746468,nan,nan,nan,nan
,,,3000.0,sammon_2021_lower_crust,887.0,8075.999999999999,3019.526361345015,50254.050810162036,93.0,887.0,93.0,887.0,53644.72894578916,0.06434764419518701,0.06805188997638911,3.3591601440823893,nan,nan,nan,nan
,,,3000.0,hacker_2015_md_xenolith,887.0,8075.999999999999,3149.3150267060996,47223.44468893779,93.0,887.0,93.0,887.0,53764.75295059012,0.10775294625456744,0.11468392451120568,3.405792178617206,nan,nan,nan,nan
,,,3000.0,mackwell_1998_maryland_diabase,887.0,8075.999999999999,3237.0564096893845,41732.34646929386,93.0,887.0,93.0,887.0,51274.25485097019,0.12669672551829922,0.13633195648476093,3.427440210590761,nan,nan,nan,nan
,,,10000.0,sammon_2021_deep_crust,887.0,8075.999999999999,2959.3526267573866,nan,nan,nan,93.0,887.0,53584.71694338868,nan,nan,3.2740812502150844,nan,nan,nan,nan
,,,10000.0,sammon_2021_lower_crust,887.0,8075.999999999999,3019.526361345015,48843.76875375075,93.0,887.0,93.0,887.0,51664.33286657331,0.06451725348752992,0.06805156537184986,3.35915981947785,nan,nan,nan,nan
,,,10000.0,hacker_2015_md_xenolith,887.0,8075.999999999999,3149.3150267060996,45903.180636127225,93.0,887.0,93.0,887.0,51784.35687137427,0.10796231315387401,0.11468583517673725,3.4057940892827374,nan,nan,nan,nan
,,,10000.0,mackwell_1998_maryland_diabase,887.0,8075.999999999999,3237.0564096893845,40922.18443688738,93.0,887.0,93.0,887.0,49503.90078015604,0.1272260272666376,0.1363382586636228,3.427446512769623,nan,nan,nan,nan
,,,0.01,sammon_2021_deep_crust,1037.0,8075.999999999999,2871.441710303864,nan,nan,nan,nan,nan,nan,nan,nan,2.8658394587121068,nan,nan,nan,nan
,,,0.01,sammon_2021_lower_crust,1037.0,8075.999999999999,2944.0112410373176,nan,nan,nan,nan,nan,nan,nan,nan,2.9296200667001133,nan,nan,nan,nan
,,,0.01,hacker_2015_md_xenolith,1037.0,8075.999999999999,2982.5069628830765,nan,nan,nan,nan,nan,nan,nan,nan,2.965441880449914,nan,nan,nan,nan
,,,0.01,mackwell_1998_maryland_diabase,1037.0,8075.999999999999,3041.481777271612,nan,nan,nan,nan,nan,nan,nan,nan,3.0238832828773403,nan,nan,nan,nan
,,,0.03,sammon_2021_deep_crust,1037.0,8075.999999999999,2871.441710303864,nan,nan,nan,nan,nan,nan,nan,nan,2.886302747390706,nan,nan,nan,nan
,,,0.03,sammon_2021_lower_crust,1037.0,8075.999999999999,2944.0112410373176,nan,nan,nan,nan,nan,nan,nan,nan,2.952351534574119,nan,nan,nan,nan
,,,0.03,hacker_2015_md_xenolith,1037.0,8075.999999999999,2982.5069628830765,nan,nan,nan,nan,nan,nan,nan,nan,2.988888485101636,nan,nan,nan,nan
,,,0.03,mackwell_1998_maryland_diabase,1037.0,8075.999999999999,3041.481777271612,nan,nan,nan,nan,nan,nan,nan,nan,3.0461982920849286,nan,nan,nan,nan
,,,0.1,sammon_2021_deep_crust,1037.0,8075.999999999999,2871.441710303864,nan,nan,nan,nan,nan,nan,nan,nan,2.9473162321313087,nan,nan,nan,nan
,,,0.1,sammon_2021_lower_crust,1037.0,8075.999999999999,2944.0112410373176,nan,nan,nan,nan,nan,nan,nan,nan,3.019436409704486,nan,nan,nan,nan
,,,0.1,hacker_2015_md_xenolith,1037.0,8075.999999999999,2982.5069628830765,nan,nan,nan,nan,nan,nan,nan,nan,3.0579367219682543,nan,nan,nan,nan
,,,0.1,mackwell_1998_maryland_diabase,1037.0,8075.999999999999,3041.481777271612,nan,nan,nan,nan,nan,nan,nan,nan,3.111280892795457,nan,nan,nan,nan
,,,0.3,sammon_2021_deep_crust,1037.0,8075.999999999999,2871.441710303864,nan,nan,nan,nan,nan,nan,nan,nan,3.0670807015300317,nan,nan,nan,nan
,,,0.3,sammon_2021_lower_crust,1037.0,8075.999999999999,2944.0112410373176,nan,nan,nan,nan,nan,nan,nan,nan,3.1483696057810873,nan,nan,nan,nan
,,,0.3,hacker_2015_md_xenolith,1037.0,8075.999999999999,2982.5069628830765,nan,nan,nan,nan,nan,nan,nan,nan,3.189796646533353,nan,nan,nan,nan
,,,0.3,mackwell_1998_maryland_diabase,1037.0,8075.999999999999,3041.481777271612,nan,nan,nan,nan,nan,nan,nan,nan,3.232915103116791,nan,nan,nan,nan
,,,1.0,sammon_2021_deep_crust,1037.0,8075.999999999999,2871.441710303864,nan,nan,nan,nan,nan,nan,nan,nan,3.1857463225556555,nan,nan,nan,nan
,,,1.0,sammon_2021_lower_crust,1037.0,8075.999999999999,2944.0112410373176,173008.60172034407,93.0,1037.0,nan,nan,nan,0.002373315381917488,0.004691293910244365,3.2807231611162444,nan,nan,nan,nan
,,,1.0,hacker_2015_md_xenolith,1037.0,8075.999999999999,2982.5069628830765,143332.66653330665,93.0,1037.0,nan,nan,nan,0.029839575599093615,0.04586181638379072,3.3218936835897908,nan,nan,nan,nan
,,,1.0,mackwell_1998_maryland_diabase,1037.0,8075.999999999999,3041.481777271612,130760.15203040607,93.0,1037.0,nan,nan,nan,0.05421924073444146,0.08283747050947055,3.3588693377154706,nan,nan,nan,nan
,,,3.0,sammon_2021_deep_crust,1037.0,8075.999999999999,2871.441710303864,nan,nan,nan,93.0,1037.0,174568.91378275654,nan,nan,3.247335233778737,nan,nan,nan,nan
,,,3.0,sammon_2021_lower_crust,1037.0,8075.999999999999,2944.0112410373176,118997.79955991199,93.0,1037.0,93.0,1037.0,158965.7931586317,0.03577382814534234,0.059491556908248366,3.3355234241142484,nan,nan,nan,nan
,,,3.0,hacker_2015_md_xenolith,1037.0,8075.999999999999,2982.5069628830765,104204.84096819363,93.0,1037.0,93.0,1037.0,158395.67913582717,0.06777566332081889,0.10162910614478315,3.377660973350783,nan,nan,nan,nan
,,,3.0,mackwell_1998_maryland_diabase,1037.0,8075.999999999999,3041.481777271612,96043.20864172834,93.0,1037.0,93.0,1037.0,137391.47829565912,0.0914910362749322,0.122819855273951,3.398851722479951,nan,nan,nan,nan
,,,10.0,sammon_2021_deep_crust,1037.0,8075.999999999999,2871.441710303864,nan,nan,nan,93.0,1037.0,121158.23164632928,nan,nan,3.2673769121167906,nan,nan,nan,nan
,,,10.0,sammon_2021_lower_crust,1037.0,8075.999999999999,2944.0112410373176,89111.8223644729,93.0,1037.0,93.0,1037.0,113536.7073414683,0.05845802616933751,0.07605269244340418,3.352084559649404,nan,nan,nan,nan
,,,10.0,hacker_2015_md_xenolith,1037.0,8075.999999999999,2982.5069628830765,80200.04000800161,93.0,1037.0,93.0,1037.0,113236.6473294659,0.09468408931134668,0.11925514502533296,3.395287012231333,nan,nan,nan,nan
,,,10.0,mackwell_1998_maryland_diabase,1037.0,8075.999999999999,3041.481777271612,74468.89377875575,93.0,1037.0,93.0,1037.0,102344.46889377876,0.11416396498229102,0.13612744710036262,3.4121593143063627,nan,nan,nan,nan
,,,30.0,sammon_2021_deep_crust,1037.0,8075.999999999999,2871.441710303864,nan,nan,nan,93.0,1037.0,94992.99859971995,nan,nan,3.2664173049133645,nan,nan,nan,nan
,,,30.0,sammon_2021_lower_crust,1037.0,8075.999999999999,2944.0112410373176,74618.92378475695,93.0,1037.0,93.0,1037.0,90042.00840168033,0.06613359360162815,0.07584550158711867,3.3518773687931187,nan,nan,nan,nan
,,,30.0,hacker_2015_md_xenolith,1037.0,8075.999999999999,2982.5069628830765,68047.60952190438,93.0,1037.0,93.0,1037.0,89831.96639327865,0.10519316174199525,0.12011522660120555,3.3961470938072056,nan,nan,nan,nan
,,,30.0,mackwell_1998_maryland_diabase,1037.0,8075.999999999999,3041.481777271612,63036.60732146429,93.0,1037.0,93.0,1037.0,82960.5921184237,0.12471523764927096,0.13963367739197707,3.415665544597977,nan,nan,nan,nan
,,,100.0,sammon_2021_deep_crust,1037.0,8075.999999999999,2871.441710303864,nan,nan,nan,93.0,1037.0,78699.7399479896,nan,nan,3.2631045545778745,nan,nan,nan,nan
,,,100.0,sammon_2021_lower_crust,1037.0,8075.999999999999,2944.0112410373176,66187.23744748949,93.0,1037.0,93.0,1037.0,75189.03780756152,0.06644209529399749,0.07167633240078253,3.3477081996067826,nan,nan,nan,nan
,,,100.0,hacker_2015_md_xenolith,1037.0,8075.999999999999,2982.5069628830765,61116.223244648936,93.0,1037.0,93.0,1037.0,75009.00180036007,0.10761821857604606,0.11748850976790592,3.393520376973906,nan,nan,nan,nan
,,,100.0,mackwell_1998_maryland_diabase,1037.0,8075.999999999999,3041.481777271612,55715.14302860572,93.0,1037.0,93.0,1037.0,70088.01760352071,0.12749654391267057,0.1383052822013875,3.4143371494073875,nan,nan,nan,nan
,,,300.0,sammon_2021_deep_crust,1037.0,8075.999999999999,2871.441710303864,nan,nan,nan,93.0,1037.0,70358.07161432286,nan,nan,3.26315222151812,nan,nan,nan,nan
,,,300.0,sammon_2021_lower_crust,1037.0,8075.999999999999,2944.0112410373176,62166.43328665733,93.0,1037.0,93.0,1037.0,67537.50750150031,0.06604481595248408,0.07143996626321858,3.3474718334692186,nan,nan,nan,nan
,,,300.0,hacker_2015_md_xenolith,1037.0,8075.999999999999,2982.5069628830765,58505.70114022805,93.0,1037.0,93.0,1037.0,67597.51950390078,0.10868988959223097,0.1179181615635958,3.393950028769596,nan,nan,nan,nan
,,,300.0,mackwell_1998_maryland_diabase,1037.0,8075.999999999999,3041.481777271612,52324.46489297859,93.0,1037.0,93.0,1037.0,63786.757351470296,0.12791077781754612,0.13932806557407273,3.4153599327800728,nan,nan,nan,nan
,,,1000.0,sammon_2021_deep_crust,1037.0,8075.999999999999,2871.441710303864,nan,nan,nan,93.0,1037.0,65287.057411482296,nan,nan,3.2631585374846113,nan,nan,nan,nan
,,,1000.0,sammon_2021_lower_crust,1037.0,8075.999999999999,2944.0112410373176,59435.88717743549,93.0,1037.0,93.0,1037.0,62796.55931186237,0.06629745525117696,0.07147155811703243,3.3475034253230325,nan,nan,nan,nan
,,,1000.0,hacker_2015_md_xenolith,1037.0,8075.999999999999,2982.5069628830765,57125.42508501701,93.0,1037.0,93.0,1037.0,63156.631326265255,0.10995497412901997,0.1181746922741489,3.394206559480149,nan,nan,nan,nan
,,,1000.0,mackwell_1998_maryland_diabase,1037.0,8075.999999999999,3041.481777271612,51664.33286657331,93.0,1037.0,93.0,1037.0,60216.04320864173,0.12957806842428446,0.14062982101111388,3.416661688217114,nan,nan,nan,nan
,,,3000.0,sammon_2021_deep_crust,1037.0,8075.999999999999,2871.441710303864,nan,nan,nan,93.0,1037.0,62916.58331666333,nan,nan,3.2631583444221626,nan,nan,nan,nan
,,,3000.0,sammon_2021_lower_crust,1037.0,8075.999999999999,2944.0112410373176,57755.55111022205,93.0,1037.0,93.0,1037.0,60336.067213442686,0.06648358557287573,0.0714712064343952,3.3475030736403952,nan,nan,nan,nan
,,,3000.0,hacker_2015_md_xenolith,1037.0,8075.999999999999,2982.5069628830765,56165.233046609326,93.0,1037.0,93.0,1037.0,60786.15723144629,0.11059798406104308,0.1181749561780614,3.3942068233840614,nan,nan,nan,nan
,,,3000.0,mackwell_1998_maryland_diabase,1037.0,8075.999999999999,3041.481777271612,51544.308861772355,93.0,1037.0,93.0,1037.0,58355.671134226846,0.13076141302158265,0.14114612589905784,3.417177993105058,nan,nan,nan,nan
,,,10000.0,sammon_2021_deep_crust,1037.0,8075.999999999999,2871.441710303864,nan,nan,nan,93.0,1037.0,61776.35527105421,nan,nan,3.263159966085375,nan,nan,nan,nan
,,,10000.0,sammon_2021_lower_crust,1037.0,8075.999999999999,2944.0112410373176,56765.353070614125,93.0,1037.0,93.0,1037.0,59105.821164232846,0.0665489424623274,0.07147483377283681,3.347506700978837,nan,nan,nan,nan
,,,10000.0,hacker_2015_md_xenolith,1037.0,8075.999999999999,2982.5069628830765,55325.065013002604,93.0,1037.0,93.0,1037.0,59525.905181036214,0.11078457641475786,0.11817553534352143,3.3942074025495215,nan,nan,nan,nan
,,,10000.0,mackwell_1998_maryland_diabase,1037.0,8075.999999999999,3041.481777271612,51454.29085817163,93.0,1037.0,93.0,1037.0,57215.44308861772,0.13152337060221894,0.14124476390806695,3.417276631114067,nan,nan,nan,nan
,,,0.01,sammon_2021_deep_crust,1187.0,8075.999999999999,2862.585373529451,nan,nan,nan,nan,nan,nan,nan,nan,2.86333745728503,nan,nan,nan,nan
,,,0.01,sammon_2021_lower_crust,1187.0,8075.999999999999,2934.5570493802697,nan,nan,nan,nan,nan,nan,nan,nan,2.9269627601286823,nan,nan,nan,nan
,,,0.01,hacker_2015_md_xenolith,1187.0,8075.999999999999,2972.700281969107,nan,nan,nan,nan,nan,nan,nan,nan,2.9625403259910645,nan,nan,nan,nan
,,,0.01,mackwell_1998_maryland_diabase,1187.0,8075.999999999999,3031.440673443985,nan,nan,nan,nan,nan,nan,nan,nan,3.0203714645396387,nan,nan,nan,nan
