setting,L0,z0,z1,As,hr0,k,Ts,Tlab,Da,composition,T0,T1,P0,rho0,critical_depth,critical_pressure,critical_temperature,plag_out_pressure,plag_out_temperature,plag_out_depth,qs0,qs1,effective_delta_rho,max_delta_rho,max_rho,max_densification_rate_1Myr,max_densification_rate_100kyr,max_densification_rate_50kyr,max_densification_rate_10kyr
,50000.0,,,9e-07,12000.0,3.0,737.15,1603.15,0.1,sammon_2021_lower_crust,1101.5784805476083,1534.2620136902053,5414.999999999999,2926.1268653203847,nan,nan,nan,nan,nan,nan,0.06020818598852864,0.05163292994264315,nan,nan,3.030924821830287,2.353098277599579,2.404475914454049,2.4072012533784246,2.4096213047518242
,50000.0,,,9e-07,12000.0,3.0,737.15,1603.15,0.1,hacker_2015_md_xenolith,1101.5784805476083,1534.2620136902053,5414.999999999999,2964.194032170323,nan,nan,nan,nan,nan,nan,0.06020818598852864,0.05163292994264315,nan,nan,3.0717920644087173,2.4343165202264783,2.486937892971385,2.489717662820221,2.492185354313251
,50000.0,,,9e-07,12000.0,3.0,737.15,1603.15,0.1,semprich_basalt,1101.5784805476083,1534.2620136902053,5414.999999999999,2957.6342064487085,nan,nan,nan,nan,nan,nan,0.06020818598852864,0.05163292994264315,nan,nan,3.0707538150340867,2.6982784394786,2.75737918033459,2.7605067505804435,2.7632833322984482
,50000.0,,,9e-07,12000.0,3.0,737.15,1603.15,0.1,mackwell_1998_maryland_diabase,1101.5784805476083,1534.2620136902053,5414.999999999999,3022.033293803255,nan,nan,nan,nan,nan,nan,0.06020818598852864,0.05163292994264315,nan,nan,3.1283256386286,2.3602897625834016,2.4076108956943734,2.4101167277679214,2.412341491496006
,50000.0,,,9e-07,12000.0,3.0,737.15,1603.15,1,sammon_2021_lower_crust,1101.5784805476083,1534.2620136902053,5414.999999999999,2926.1268653203847,nan,nan,nan,nan,nan,nan,0.06020818598852864,0.05163292994264315,nan,nan,3.204268553519505,6.429058508928632,6.430560339418008,6.430564664573827,6.430566559108108
,50000.0,,,9e-07,12000.0,3.0,737.15,1603.15,1,hacker_2015_md_xenolith,1101.5784805476083,1534.2620136902053,5414.999999999999,2964.194032170323,nan,nan,nan,nan,nan,nan,0.06020818598852864,0.05163292994264315,nan,nan,3.252764817024979,6.590335060261356,6.592280857776586,6.592295284214996,6.592298814678785
,50000.0,,,9e-07,12000.0,3.0,737.15,1603.15,1,semprich_basalt,1101.5784805476083,1534.2620136902053,5414.999999999999,2957.6342064487085,nan,nan,nan,nan,nan,nan,0.06020818598852864,0.05163292994264315,nan,nan,3.2729834250513825,7.214658037117765,7.215346693876553,7.215354854592256,7.215357478736396
,50000.0,,,9e-07,12000.0,3.0,737.15,1603.15,1,mackwell_1998_maryland_diabase,1101.5784805476083,1534.2620136902053,5414.999999999999,3022.033293803255,nan,nan,nan,nan,nan,nan,0.06020818598852864,0.05163292994264315,nan,nan,3.3054754061189477,6.261657591956304,6.263600052697686,6.2636110316569305,6.263613402239034
,50000.0,,,9e-07,12000.0,3.0,737.15,1603.15,10,sammon_2021_lower_crust,1101.5784805476083,1534.2620136902053,5414.999999999999,2926.1268653203847,nan,nan,nan,26072.749149829964,1513.16485718358,97631.52630526105,0.06020818598852864,0.05163292994264315,nan,nan,3.3108710841701834,9.358295123114718,9.36161850581957,9.361627781467078,9.361632410401063
,50000.0,,,9e-07,12000.0,3.0,737.15,1603.15,10,hacker_2015_md_xenolith,1101.5784805476083,1534.2620136902053,5414.999999999999,2964.194032170323,82812.5625125025,22129.42288457691,1392.6447162738589,25872.601920384073,1506.5708746765142,96879.37587517504,0.06020818598852864,0.05163292994264315,0.02833927975963459,0.04727954446874927,3.3594329036625603,9.747700425205972,9.748999854259937,9.749006098599494,9.749012504326425
,50000.0,,,9e-07,12000.0,3.0,737.15,1603.15,10,semprich_basalt,1101.5784805476083,1534.2620136902053,5414.999999999999,2957.6342064487085,76315.26305261052,20400.491498299656,1346.0455500181984,25306.22784556911,1488.1876428473001,94750.95019003801,0.06020818598852864,0.05163292994264315,0.05297239813386106,0.08288931124886911,3.39504267044268,10.838773220165935,10.841876415665459,10.841882682478799,10.841884645078933
,50000.0,,,9e-07,12000.0,3.0,737.15,1603.15,10,mackwell_1998_maryland_diabase,1101.5784805476083,1534.2620136902053,5414.999999999999,3022.033293803255,71386.27725545109,19088.888377675532,1313.2328683354992,23087.57451490298,1420.1081726851835,86413.2826565313,0.06020818598852864,0.05163292994264315,0.05702477398179751,0.08072077974657077,3.392874138940382,10.132097803385955,10.13421446443588,10.134256307496456,10.13425945016525
,50000.0,,,9e-07,12000.0,3.0,737.15,1603.15,100,sammon_2021_lower_crust,1101.5784805476083,1534.2620136902053,5414.999999999999,2926.1268653203847,84364.87297459492,22542.492698539707,1404.3412015283811,22210.333466693333,1394.918673900735,83116.62332466494,0.06020818598852864,0.05163292994264315,0.007361823719230133,0.008756747461984737,3.320910106655796,16.487492524491092,16.515436108678838,16.516147713216036,16.51629917073517
,50000.0,,,9e-07,12000.0,3.0,737.15,1603.15,100,hacker_2015_md_xenolith,1101.5784805476083,1534.2620136902053,5414.999999999999,2964.194032170323,74778.95579115822,19991.6801360272,1335.5833006968553,22120.905981196236,1392.4058371125927,82780.55611122225,0.06020818598852864,0.05163292994264315,0.044823221154050005,0.05717467986338454,3.3693280390571956,17.78285592390543,17.898942132541073,17.899603455887256,17.899701234417403
,50000.0,,,9e-07,12000.0,3.0,737.15,1603.15,100,semprich_basalt,1101.5784805476083,1534.2620136902053,5414.999999999999,2957.6342064487085,67465.49309861971,18045.567713542703,1288.6957537924634,21801.52210442088,1383.514528490514,81580.31606321264,0.06020818598852864,0.05163292994264315,0.07472052072647012,0.10016100759520086,3.412314366789012,17.535515323105194,17.63445733403226,17.63487291757038,17.63503833640238
,50000.0,,,9e-07,12000.0,3.0,737.15,1603.15,100,mackwell_1998_maryland_diabase,1101.5784805476083,1534.2620136902053,5414.999999999999,3022.033293803255,60296.05921184237,16137.781356271253,1247.4115247894026,19646.74554910982,1326.9212675896467,73482.69653930786,0.06020818598852864,0.05163292994264315,0.06884612315452866,0.08597984232931921,3.3981332015231303,18.85139516802253,18.88047393849587,18.88104082136199,18.881202897601895
,50000.0,,,9e-07,12000.0,3.0,737.15,1603.15,1000,sammon_2021_lower_crust,1101.5784805476083,1534.2620136902053,5414.999999999999,2926.1268653203847,78907.78155631127,21090.360672134426,1364.1830404652535,20958.348669733943,1360.6654106300427,78411.68233646729,0.06020818598852864,0.05163292994264315,0.007546444307110849,0.009736111986658358,3.3218894711804694,33.5359152939671,33.856737809141244,33.86145165012772,33.86493650442774
,50000.0,,,9e-07,12000.0,3.0,737.15,1603.15,1000,hacker_2015_md_xenolith,1101.5784805476083,1534.2620136902053,5414.999999999999,2964.194032170323,73354.67093418684,19612.677935587115,1326.0739766520485,21090.360672134426,1364.1830404652535,78907.78155631127,0.06020818598852864,0.05163292994264315,0.04844909139756981,0.056601967774038364,3.3687553269678494,34.98509871662264,36.278528505643386,36.278528505643386,36.278528505643386
,50000.0,,,9e-07,12000.0,3.0,737.15,1603.15,1000,semprich_basalt,1101.5784805476083,1534.2620136902053,5414.999999999999,2957.6342064487085,66761.3522704541,17858.195839167834,1284.4358671306934,20928.539507901576,1359.8741775154306,78299.65993198639,0.06020818598852864,0.05163292994264315,0.08137035102102674,0.10497737958234499,3.417130738776156,22.988758016808198,23.265633812816578,23.26803614374663,23.26876108753446
,50000.0,,,9e-07,12000.0,3.0,737.15,1603.15,1000,mackwell_1998_maryland_diabase,1101.5784805476083,1534.2620136902053,5414.999999999999,3022.033293803255,59575.91518303661,15946.15103020604,1243.5207494288838,18760.9875975195,1305.3718855319175,70154.03080616123,0.06020818598852864,0.05163292994264315,0.07194822753532513,0.08572410600023872,3.3978774651940498,33.31785637957346,35.269106344565124,35.269106344565124,35.269106344565124
,50000.0,,,9e-07,12000.0,3.0,737.15,1603.15,10000.0,sammon_2021_lower_crust,1101.5784805476083,1534.2620136902053,5414.999999999999,2926.1268653203847,77643.52870574115,20753.94298859772,1355.262528447282,20664.515503100618,1352.915493073608,77307.46149229846,0.06020818598852864,0.05163292994264315,0.007388415405805066,0.010083845808814829,3.322237205002626,46.01783474621613,47.68996503024805,47.68996503024805,47.68996503024805
,50000.0,,,9e-07,12000.0,3.0,737.15,1603.15,10000.0,hacker_2015_md_xenolith,1101.5784805476083,1534.2620136902053,5414.999999999999,2964.194032170323,73178.63572714543,19565.834966993396,1324.9113640672945,20890.21344268854,1358.8585399662122,78155.63112622526,0.06020818598852864,0.05163292994264315,0.049184660005833256,0.05628627289948662,3.3684396320932977,36.84630882927109,39.893231618228405,39.893231618228405,39.893231618228405
,50000.0,,,9e-07,12000.0,3.0,737.15,1603.15,10000.0,semprich_basalt,1101.5784805476083,1534.2620136902053,5414.999999999999,2957.6342064487085,66697.33946789359,17841.16203240648,1284.0508209329876,20630.447889577914,1352.0240622996885,77179.43588717745,0.06020818598852864,0.05163292994264315,0.08259509656514771,0.10538573120255768,3.4175390903963687,37.822932625777725,39.9442323062517,39.96621863154983,39.970586100538384
