name,formula,a0,n,v0,k00,k0p,theta0,gamma0,q,refS,T_r,V_r,TC0,VD,SD,abbrev,eos,trans,type
MgWadsleyite,Mg(2)Si(1)O(4),-2029078.6,7.0,4.0515,1687027.6,4.12302,849.12535,1.20498,2.20831,0.0,300.0,4.0515,,,,mgwa,6,,
MgNAL,Na(1)Mg(2)Al(5)Si(1)O(12),-6172514.21,21.0,10.9883,2040067.2,4.31789,868.59088,1.43147,1.0,0.0,300.0,10.9883,,,,mnal,6,,
MgPostPerovskite,Mg(1)Si(1)O(3),-1332544.16,5.0,2.41108,2477400.0,4.0,931.02549,1.64015,1.76454,0.0,300.0,2.41108,,,,mppv,6,,
NaCaFerrite,Na(1)Al(1)Si(1)O(4),-1848182.13,7.0,3.627,2200000.0,4.1,709.33152,1.56656,1.0,0.0,300.0,3.627,,,,nacf,6,,
NaMajorite,Na(2)Mg(1)Si(5)O(12),-5309561.23,20.0,11.0842,1720355.2,5.20045,845.23671,1.25087,0.10909,0.0,300.0,11.0842,,,,namj,6,,
Nepheline,Na(1)Al(1)Si(1)O(4),-1996488.39,7.0,5.38684,530555.0,4.0,743.57985,0.6969,1.0,0.0,300.0,5.38684,467.0,0.08,10.0,neph,6,1.0,7.0
NaNAL,Na(3)Al(3)Si(3)O(12),-5570853.45,21.0,10.9401,2040067.2,4.31789,846.08425,1.43147,1.0,0.0,300.0,10.9401,,,,nnal,6,,
OrthoDiopside,Ca(1)Mg(1)Si(2)O(6),-3015701.23,10.0,6.8054,1070768.1,7.02751,744.48915,0.78477,3.43847,0.0,300.0,6.8054,,,,odi,6,,
Periclase,Mg(1)O(1),-2278119.63,8.0,4.4976,1611439.3,3.90838,770.90151,1.45033,1.5487,0.0,300.0,4.4976,,,,pe,6,,
PicroChromite,Mg(1)Cr(2)O(4),-1808028.0,7.0,4.3564,1844000.0,5.7,750.72523,0.99168,3.97087,0.0,300.0,4.3564,12.55,,23.05213,picr,6,1.0,7.0
Pseudowollastonite,Ca(1)Si(1)O(3),-1547095.09,5.0,4.0272,860000.0,3.8,703.00475,0.95232,1.0,0.0,300.0,4.0272,,,,pwo,6,,
Pyrope,Mg(3)Al(2)Si(3)O(12),-5932095.93,20.0,11.308,1702396.4,4.11067,823.23783,1.01422,1.42169,0.0,300.0,11.308,,,,py,6,,
Quartz,Si(1)O(2),-858043.33,3.0,2.242105,614259.6,19.78014,883.46813,-0.03957,1.0,0.0,300.0,2.242105,847.0,0.1359,5.76,qtz,6,1.0,7.0
Magnetite,Fe(3)O(4),-1016009.99,7.0,4.4528,1838766.4,5.22819,529.46966,1.35821,0.41872,0.0,300.0,4.4528,845.5,,43.1758,smag,6,1.0,9.0
MgSpinel,Mg(4)Al(8)O(16),-2171789.32,7.0,3.9762,1951034.9,4.62702,801.86054,0.97405,3.97087,0.0,300.0,3.9762,,,,sp,6,,
Stishovite,Si(1)O(2),-817124.2,3.0,1.4017,3058396.3,4.02918,1096.06023,1.55723,2.21141,0.0,300.0,1.4017,,,,st,6,,
Wollastonite,Ca(1)Si(1)O(3),-1548541.46,5.0,3.9901,939000.0,4.0,713.58788,1.05734,1.0,0.0,300.0,3.9901,,,,wo,6,,
Wuestite,Fe(1)O(1),-962050.35,8.0,4.9024,1607000.0,4.0,427.00102,1.45033,1.5487,0.0,300.0,4.9024,191.0,,53.5254,wu,6,1.0,7.0
WuestiteLS,Fe(1)O(1),-609335.18,8.0,4.33997,1997000.0,4.0,492.99392,1.45033,1.5487,0.0,300.0,4.33997,,,,wuls,6,,
