|6.6.6
gulcher_venus_1.tab
1
T(K)
200.00000000000011
200.00000000000011
-1008710384
13
T(K) P(bar) Pl Pl Sp Cpx Cpx Opx Gt ky O qtz coes
1036.28 16313.1 NaN NaN NaN 45.1443 NaN NaN 41.6581 4.62413 NaN 8.57342 NaN
1038.30 16515.2 NaN NaN NaN 45.0728 NaN NaN 41.7493 4.58911 NaN 8.58880 NaN
1040.32 16717.2 NaN NaN NaN 45.0038 NaN NaN 41.8355 4.55896 NaN 8.60176 NaN
1042.34 16919.2 NaN NaN NaN 44.9356 NaN NaN 41.9222 4.52625 NaN 8.61598 NaN
1044.36 17121.2 NaN NaN NaN 44.8664 NaN NaN 42.0099 4.49338 NaN 8.63029 NaN
1046.38 17323.2 NaN NaN NaN 44.7922 NaN NaN 42.1034 4.45892 NaN 8.64543 NaN
1048.40 17525.3 NaN NaN NaN 44.7154 NaN NaN 42.2006 4.42233 NaN 8.66165 NaN
1050.42 17727.3 NaN NaN NaN 44.6465 NaN NaN 42.2877 4.39009 NaN 8.67567 NaN
1052.44 17929.3 NaN NaN NaN 44.5668 NaN NaN 42.3879 4.35334 NaN 8.69199 NaN
1054.46 18131.3 NaN NaN NaN 44.5036 NaN NaN 42.4696 4.32057 NaN 8.70623 NaN
1056.48 18333.3 NaN NaN NaN 44.4281 NaN NaN 42.5658 4.28319 NaN 8.72284 NaN
1058.50 18535.4 NaN NaN NaN 44.3701 NaN NaN 42.6386 4.25801 NaN 8.73329 NaN
1060.52 18737.4 NaN NaN NaN 44.2784 NaN NaN 42.7539 4.21461 NaN 8.75301 NaN
1062.54 18939.4 NaN NaN NaN 44.2056 NaN NaN 42.8465 4.17945 NaN 8.76851 NaN
1064.56 19141.4 NaN NaN NaN 44.1330 NaN NaN 42.9376 4.14647 NaN 8.78294 NaN
1066.58 19343.4 NaN NaN NaN 44.0564 NaN NaN 43.0332 4.11245 NaN 8.79791 NaN
1068.60 19545.5 NaN NaN NaN 43.9783 NaN NaN 43.1316 4.07608 NaN 8.81406 NaN
1070.62 19747.5 NaN NaN NaN 43.9021 NaN NaN 43.2274 4.04091 NaN 8.82960 NaN
1072.64 19949.5 NaN NaN NaN 43.8228 NaN NaN 43.3273 4.00371 NaN 8.84617 NaN
1074.67 20151.5 NaN NaN NaN 43.7508 NaN NaN 43.4203 3.96585 NaN 8.86301 NaN
1076.69 20353.5 NaN NaN NaN 43.6879 NaN NaN 43.4961 3.94420 NaN 8.87180 NaN
1078.71 20555.6 NaN NaN NaN 43.5950 NaN NaN 43.6161 3.89397 NaN 8.89489 NaN
1080.73 20757.6 NaN NaN NaN 43.5170 NaN NaN 43.7137 3.85891 NaN 8.91040 NaN
1082.75 20959.6 NaN NaN NaN 43.4454 NaN NaN 43.8058 3.82195 NaN 8.92680 NaN
1084.77 21161.6 NaN NaN NaN 43.3587 NaN NaN 43.9123 3.78640 NaN 8.94261 NaN
1086.79 21363.6 NaN NaN NaN 43.2825 NaN NaN 44.0097 3.74815 NaN 8.95968 NaN
1088.81 21565.7 NaN NaN NaN 43.1955 NaN NaN 44.1201 3.70528 NaN 8.97911 NaN
1090.83 21767.7 NaN NaN NaN 43.1197 NaN NaN 44.2147 3.67184 NaN 8.99381 NaN
1092.85 21969.7 NaN NaN NaN 43.0402 NaN NaN 44.3149 3.63440 NaN 9.01051 NaN
1094.87 22171.7 NaN NaN NaN 42.9570 NaN NaN 44.4177 3.59921 NaN 9.02613 NaN
1096.89 22373.7 NaN NaN NaN 42.8771 NaN NaN 44.5181 3.56215 NaN 9.04264 NaN
1098.91 22575.8 NaN NaN NaN 42.7928 NaN NaN 44.6243 3.52232 NaN 9.06054 NaN
1100.93 22777.8 NaN NaN NaN 42.7130 NaN NaN 44.7246 3.48537 NaN 9.07701 NaN
1102.95 22979.8 NaN NaN NaN 42.6323 NaN NaN 44.8261 3.44785 NaN 9.09375 NaN
1104.97 23181.8 NaN NaN NaN 42.5535 NaN NaN 44.9254 3.41078 NaN 9.11027 NaN
1106.99 23383.8 NaN NaN NaN 42.4722 NaN NaN 45.0274 3.37355 NaN 9.12688 NaN
1109.01 23585.9 NaN NaN NaN 42.3887 NaN NaN 45.1325 3.33426 NaN 9.14451 NaN
1111.03 23787.9 NaN NaN NaN 42.2967 NaN NaN 45.2489 3.28969 NaN 9.16480 NaN
1113.05 23989.9 NaN NaN NaN 42.2252 NaN NaN 45.3397 3.25492 NaN 9.18013 NaN
1115.07 24191.9 NaN NaN NaN 42.1367 NaN NaN 45.4487 3.21782 NaN 9.19673 NaN
1117.09 24393.9 NaN NaN NaN 42.0653 NaN NaN 45.5401 3.18202 NaN 9.21256 NaN
1119.11 24596.0 NaN NaN NaN 41.9721 NaN NaN 45.6556 3.14150 NaN 9.23087 NaN
1121.13 24798.0 NaN NaN NaN 41.8855 NaN NaN 45.7643 3.10112 NaN 9.24906 NaN
1123.15 25000.0 NaN NaN NaN 41.8021 NaN NaN 45.8691 3.06225 NaN 9.26648 NaN
