setting,L0,z0,z1,As,hr0,k,Ts,Tlab,Da,composition,T0,T1,P0,rho0,critical_depth,critical_pressure,critical_temperature,plag_out_pressure,plag_out_temperature,plag_out_depth,qs0,qs1,effective_delta_rho,max_delta_rho,max_rho,max_densification_rate_1Myr,max_densification_rate_100kyr,max_densification_rate_50kyr,max_densification_rate_10kyr
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,1.0,sammon_2021_lower_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2944.003677883709,108000.0,30000.0,1293.9620862135102,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.172904028045791,7.872739764931175,7.905861867239242,7.9064600538096785,7.9064600538096785
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,1.0,sammon_2021_deep_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2871.03086860581,108000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.077426902803372,6.985097264424556,7.054043456736838,7.056836925562023,7.056836925562023
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,1.0,hacker_2015_md_xenolith,1044.0464720227953,1293.9693566065441,8181.540000000001,2982.6027759047083,108000.0,30000.0,1293.9620862135098,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.220895297923755,8.08808477332764,8.099342872663568,8.099357826194675,8.099357826194675
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,1.0,mackwell_1998_maryland_diabase,1044.0464720227953,1293.9693566065441,8181.540000000001,3041.6226496585246,108000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.279925360953478,7.6657211735408,7.668420187447474,7.668439995504488,7.668439995504488
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,3.0,sammon_2021_lower_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2944.003677883709,108000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.277258054260567,10.353859702395056,10.356182593388503,10.356245315355869,10.356245315355869
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,3.0,sammon_2021_deep_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2871.03086860581,108000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.167132018039664,9.06289275589362,9.067064114187097,9.06707863022266,9.06707863022266
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,3.0,hacker_2015_md_xenolith,1044.0464720227953,1293.9693566065441,8181.540000000001,2982.6027759047083,108000.0,30000.0,1293.9620862135098,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.3274453431632867,10.521959567611116,10.525584299508996,10.525607441655023,10.525607441655023
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,3.0,mackwell_1998_maryland_diabase,1044.0464720227953,1293.9693566065441,8181.540000000001,3041.6226496585246,75545.54554554561,20602.63009009011,1262.4780899379593,nan,nan,nan,0.09194390774252162,0.0801837539800576,0.01739664106483351,0.03265149485832586,3.3830030253294807,10.165932867462192,10.169073694967203,10.169131729352682,10.169131729352682
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,10.0,sammon_2021_lower_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2944.003677883709,108000.0,30000.0,1293.9620862135098,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.339288025419024,11.901850419848987,11.916460874984168,11.916573515400072,11.916573515400072
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,10.0,sammon_2021_deep_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2871.03086860581,108000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.2225809428274945,9.891851239216743,9.89548664823273,9.895517924569642,9.895517924569642
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,10.0,hacker_2015_md_xenolith,1044.0464720227953,1293.9693566065441,8181.540000000001,2982.6027759047083,73093.09309309316,19933.802162162185,1245.913915065936,nan,nan,nan,0.09194390774252162,0.0801837539800576,0.01955040726673219,0.036171341760550035,3.386522872231705,11.695055279556179,11.699714325104669,11.699773204115498,11.699773204115498
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,10.0,mackwell_1998_maryland_diabase,1044.0464720227953,1293.9693566065441,8181.540000000001,3041.6226496585246,65085.0850850851,17749.874234234238,1195.6332503560645,21817.44,1293.96208621351,80000.0,0.09194390774252162,0.0801837539800576,0.0519663187933958,0.08402443408702709,3.434375964558182,11.563831967027136,11.569914504898383,11.570009222399346,11.570009222399346
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,30.0,sammon_2021_lower_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2944.003677883709,75945.94594594582,20711.82648648645,1265.234350977012,21667.29495495493,1289.973140617321,79449.44944944936,0.09194390774252162,0.0801837539800576,0.009079602564679995,0.016530287573147007,3.366881818044302,12.171646975652445,12.179224307299606,12.179348745898865,12.179348745898865
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,30.0,sammon_2021_deep_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2871.03086860581,108000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.25498695682165,10.046581854121573,10.061628128785166,10.061744965383667,10.061744965383667
